LOJA;ITEM ;Rede;STATUS 
28 - BAHAMAS MIX BARB.;SACOLA VERDE 40X50;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;BOBINA 20X30;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;BOBINA 25X35;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;BOBINA 30X40;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;BRAMIL LIXO 100L;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;BRAMIL LIXO 100L REF ;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;BRAMIL LIXO 15L;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;BRAMIL LIXO 200L REF ;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;BRAMIL LIXO 30L;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;BRAMIL LIXO 50L ;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;ECONOMICO 100L;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;ECONOMICO 100L ;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;ECONOMICO 15L;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;ECONOMICO 30L;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;ECONOMICO 50L;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;HIPERROLL 100L;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;HIPERROLL 15L;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;HIPERROLL 30L;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;HIPERROLL 50L;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;REFORCADO 100L;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;REFORCADO 200L;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;SACOLA 29X39;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;SACOLA 29X39 ;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;SACOLA 38X48;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;SACOLA 38X48 ;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;SACOLA VERDE 38X50;BAHAMAS;ATIVO 
3 - SUPERMERCADO BAHAMAS BARBACENA.;SACOLA VERDE 40X50;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;BOBINA 20X30;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;BOBINA 25X35;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;BOBINA 30X40;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;BRAMIL LIXO 100L;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;BRAMIL LIXO 100L REF ;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;BRAMIL LIXO 15L;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;BRAMIL LIXO 200L REF ;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;BRAMIL LIXO 30L;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;BRAMIL LIXO 50L ;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;ECONOMICO 100L;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;ECONOMICO 100L ;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;ECONOMICO 15L;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;ECONOMICO 30L;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;ECONOMICO 50L;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;HIPERROLL 100L;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;HIPERROLL 15L;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;HIPERROLL 30L;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;HIPERROLL 50L;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;REFORCADO 100L;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;REFORCADO 200L;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;SACOLA 29X39;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;SACOLA 29X39 ;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;SACOLA 38X48;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;SACOLA 38X48 ;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;SACOLA VERDE 38X50;BAHAMAS;ATIVO 
30 - SUPERMERCADO BAHAMAS CATAGUASES 2.;SACOLA VERDE 40X50;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;BOBINA 20X30;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;BOBINA 25X35;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;BOBINA 30X40;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;BRAMIL LIXO 100L;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;BRAMIL LIXO 100L REF ;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;BRAMIL LIXO 15L;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;BRAMIL LIXO 200L REF ;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;BRAMIL LIXO 30L;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;BRAMIL LIXO 50L ;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;ECONOMICO 100L;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;ECONOMICO 100L ;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;ECONOMICO 15L;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;ECONOMICO 30L;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;ECONOMICO 50L;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;HIPERROLL 100L;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;HIPERROLL 15L;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;HIPERROLL 30L;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;HIPERROLL 50L;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;REFORCADO 100L;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;REFORCADO 200L;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;SACOLA 29X39;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;SACOLA 29X39 ;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;SACOLA 38X48;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;SACOLA 38X48 ;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;SACOLA VERDE 38X50;BAHAMAS;ATIVO 
32 - BAHAMAS MIX UBERLANDIA J. PINHEIRO;SACOLA VERDE 40X50;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;BOBINA 20X30;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;BOBINA 25X35;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;BOBINA 30X40;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;BRAMIL LIXO 100L;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;BRAMIL LIXO 100L REF ;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;BRAMIL LIXO 15L;BAHAMAS;ATIVO 
